   Elapsed time	   ECG1	   ECG2
       4:01.570	 -0.010	 -0.420
       4:01.578	 -0.020	 -0.410
       4:01.586	  0.010	 -0.430
       4:01.594	  0.020	 -0.370
       4:01.602	  0.020	 -0.360
       4:01.609	  0.050	 -0.370
       4:01.617	  0.030	 -0.380
       4:01.625	  0.050	 -0.350
       4:01.633	  0.040	 -0.340
       4:01.641	  0.090	 -0.350
       4:01.648	  0.080	 -0.310
       4:01.656	  0.100	 -0.330
       4:01.664	  0.110	 -0.330
       4:01.672	  0.120	 -0.350
       4:01.680	  0.080	 -0.330
       4:01.688	  0.090	 -0.370
       4:01.695	  0.100	 -0.420
       4:01.703	  0.080	 -0.430
       4:01.711	  0.090	 -0.450
       4:01.719	  0.070	 -0.470
       4:01.727	  0.030	 -0.470
       4:01.734	  0.010	 -0.390
       4:01.742	  0.000	 -0.330
       4:01.750	 -0.020	 -0.270
       4:01.758	 -0.020	 -0.230
       4:01.766	 -0.010	 -0.170
       4:01.773	  0.000	 -0.190
       4:01.781	  0.000	 -0.210
       4:01.789	  0.000	 -0.170
       4:01.797	  0.000	 -0.190
       4:01.805	  0.000	 -0.200
       4:01.813	 -0.010	 -0.210
       4:01.820	 -0.030	 -0.220
       4:01.828	  0.010	 -0.200
       4:01.836	 -0.010	 -0.230
       4:01.844	  0.010	 -0.210
       4:01.852	  0.000	 -0.200
       4:01.859	  0.020	 -0.240
       4:01.867	  0.010	 -0.240
       4:01.875	  0.000	 -0.230
       4:01.883	  0.010	 -0.200
       4:01.891	  0.010	 -0.240
       4:01.898	  0.010	 -0.230
       4:01.906	  0.000	 -0.210
       4:01.914	 -0.010	 -0.260
       4:01.922	 -0.020	 -0.240
       4:01.930	  0.010	 -0.210
       4:01.938	 -0.010	 -0.210
       4:01.945	 -0.020	 -0.230
       4:01.953	 -0.030	 -0.230
       4:01.961	 -0.040	 -0.220
       4:01.969	 -0.020	 -0.250
       4:01.977	 -0.030	 -0.270
       4:01.984	 -0.050	 -0.250
       4:01.992	 -0.050	 -0.250
       4:02.000	 -0.040	 -0.250
       4:02.008	 -0.050	 -0.260
       4:02.016	 -0.080	 -0.260
       4:02.023	 -0.060	 -0.240
       4:02.031	 -0.020	 -0.220
       4:02.039	 -0.020	 -0.190
       4:02.047	 -0.010	 -0.150
       4:02.055	  0.030	 -0.150
       4:02.063	  0.110	  0.040
       4:02.070	  0.090	  0.150
       4:02.078	  0.070	  0.140
       4:02.086	  0.020	  0.120
       4:02.094	 -0.050	  0.010
       4:02.102	 -0.110	 -0.020
       4:02.109	 -0.120	 -0.070
       4:02.117	 -0.090	 -0.180
       4:02.125	 -0.120	 -0.280
       4:02.133	 -0.110	 -0.290
       4:02.141	 -0.130	 -0.310
       4:02.148	 -0.120	 -0.300
       4:02.156	 -0.130	 -0.310
       4:02.164	 -0.040	 -0.410
       4:02.172	  0.230	  0.580
       4:02.180	  0.600	  2.980
       4:02.188	 -0.100	  5.110
       4:02.195	 -1.580	  5.110
       4:02.203	 -1.470	  2.850
       4:02.211	 -1.210	 -0.660
       4:02.219	 -0.680	 -0.530
       4:02.227	 -0.370	 -0.370
       4:02.234	 -0.050	 -0.340
       4:02.242	 -0.050	 -0.350
       4:02.250	 -0.020	 -0.380
       4:02.258	 -0.010	 -0.410
       4:02.266	  0.010	 -0.390
       4:02.273	  0.020	 -0.360
       4:02.281	  0.040	 -0.360
       4:02.289	  0.050	 -0.370
       4:02.297	  0.040	 -0.330
       4:02.305	  0.050	 -0.320
       4:02.313	  0.060	 -0.320
       4:02.320	  0.080	 -0.320
       4:02.328	  0.090	 -0.290
       4:02.336	  0.110	 -0.290
       4:02.344	  0.100	 -0.310
       4:02.352	  0.120	 -0.270
       4:02.359	  0.130	 -0.270
       4:02.367	  0.160	 -0.280
       4:02.375	  0.170	 -0.300
       4:02.383	  0.190	 -0.270
       4:02.391	  0.200	 -0.290
       4:02.398	  0.210	 -0.330
       4:02.406	  0.210	 -0.360
       4:02.414	  0.200	 -0.360
       4:02.422	  0.200	 -0.410
       4:02.430	  0.180	 -0.460
       4:02.438	  0.150	 -0.460
       4:02.445	  0.120	 -0.450
       4:02.453	  0.100	 -0.430
       4:02.461	  0.050	 -0.370
       4:02.469	  0.040	 -0.270
       4:02.477	  0.020	 -0.210
       4:02.484	  0.010	 -0.170
       4:02.492	  0.010	 -0.120
       4:02.500	  0.040	 -0.100
       4:02.508	  0.030	 -0.120
       4:02.516	  0.040	 -0.130
       4:02.523	  0.040	 -0.100
       4:02.531	  0.050	 -0.100
       4:02.539	  0.040	 -0.130
       4:02.547	  0.060	 -0.130
       4:02.555	  0.050	 -0.110
       4:02.563	  0.060	 -0.140
       4:02.570	  0.060	 -0.140
       4:02.578	  0.070	 -0.130
       4:02.586	  0.070	 -0.150
       4:02.594	  0.070	 -0.160
       4:02.602	  0.070	 -0.170
       4:02.609	  0.070	 -0.150
       4:02.617	  0.070	 -0.150
       4:02.625	  0.080	 -0.180
       4:02.633	  0.060	 -0.170
       4:02.641	  0.060	 -0.160
       4:02.648	  0.060	 -0.180
       4:02.656	  0.060	 -0.200
       4:02.664	  0.040	 -0.170
       4:02.672	  0.060	 -0.150
       4:02.680	  0.050	 -0.190
       4:02.688	  0.060	 -0.190
       4:02.695	  0.040	 -0.160
       4:02.703	  0.040	 -0.180
       4:02.711	  0.030	 -0.190
       4:02.719	  0.020	 -0.160
       4:02.727	  0.030	 -0.150
       4:02.734	  0.020	 -0.180
       4:02.742	  0.010	 -0.200
       4:02.750	  0.030	 -0.150
       4:02.758	  0.050	 -0.100
       4:02.766	  0.080	 -0.120
       4:02.773	  0.060	 -0.060
       4:02.781	  0.110	 -0.040
       4:02.789	  0.180	  0.110
       4:02.797	  0.180	  0.210
       4:02.805	  0.100	  0.210
       4:02.813	  0.060	  0.210
       4:02.820	 -0.020	  0.080
       4:02.828	 -0.090	  0.040
       4:02.836	 -0.070	  0.040
       4:02.844	 -0.060	 -0.070
       4:02.852	 -0.070	 -0.200
       4:02.859	 -0.080	 -0.210
       4:02.867	 -0.080	 -0.200
       4:02.875	 -0.070	 -0.190
       4:02.883	 -0.070	 -0.210
       4:02.891	 -0.040	 -0.380
       4:02.898	  0.360	  0.360
       4:02.906	  0.590	  2.540
       4:02.914	 -0.070	  5.110
       4:02.922	 -1.990	  5.110
       4:02.930	 -2.080	  3.370
       4:02.938	 -1.230	 -0.570
       4:02.945	 -0.790	 -0.390
       4:02.953	 -0.300	 -0.260
       4:02.961	 -0.010	 -0.280
       4:02.969	 -0.010	 -0.350
       4:02.977	  0.040	 -0.330
       4:02.984	  0.050	 -0.330
       4:02.992	  0.070	 -0.360
       4:03.000	  0.080	 -0.340
       4:03.008	  0.090	 -0.320
       4:03.016	  0.100	 -0.330
       4:03.023	  0.120	 -0.340
       4:03.031	  0.110	 -0.310
       4:03.039	  0.140	 -0.300
       4:03.047	  0.140	 -0.300
       4:03.055	  0.150	 -0.280
       4:03.063	  0.170	 -0.260
       4:03.070	  0.190	 -0.270
       4:03.078	  0.200	 -0.280
       4:03.086	  0.230	 -0.230
       4:03.094	  0.260	 -0.250
       4:03.102	  0.270	 -0.260
       4:03.109	  0.290	 -0.280
       4:03.117	  0.300	 -0.260
       4:03.125	  0.320	 -0.300
       4:03.133	  0.320	 -0.330
       4:03.141	  0.310	 -0.340
       4:03.148	  0.290	 -0.350
       4:03.156	  0.270	 -0.400
       4:03.164	  0.210	 -0.420
       4:03.172	  0.180	 -0.390
       4:03.180	  0.120	 -0.340
       4:03.188	  0.100	 -0.290
       4:03.195	  0.060	 -0.210
       4:03.203	  0.040	 -0.120
       4:03.211	  0.040	 -0.090
       4:03.219	  0.030	 -0.070
       4:03.227	  0.050	 -0.010
       4:03.234	  0.050	 -0.020
       4:03.242	  0.050	 -0.030
       4:03.250	  0.050	 -0.070
       4:03.258	  0.050	 -0.030
       4:03.266	  0.040	 -0.050
       4:03.273	  0.040	 -0.070
       4:03.281	  0.030	 -0.050
       4:03.289	  0.030	 -0.050
       4:03.297	  0.040	 -0.080
       4:03.305	  0.050	 -0.090
       4:03.313	  0.030	 -0.050
       4:03.320	  0.050	 -0.080
       4:03.328	  0.050	 -0.090
       4:03.336	  0.040	 -0.100
       4:03.344	  0.070	 -0.080
       4:03.352	  0.070	 -0.110
       4:03.359	  0.070	 -0.120
       4:03.367	  0.070	 -0.110
       4:03.375	  0.090	 -0.110
       4:03.383	  0.080	 -0.140
       4:03.391	  0.060	 -0.140
       4:03.398	  0.070	 -0.130
       4:03.406	  0.060	 -0.140
       4:03.414	  0.060	 -0.160
       4:03.422	  0.040	 -0.140
       4:03.430	  0.040	 -0.130
       4:03.438	  0.030	 -0.150
       4:03.445	  0.030	 -0.160
       4:03.453	  0.020	 -0.140
       4:03.461	  0.010	 -0.150
       4:03.469	  0.010	 -0.170
       4:03.477	  0.000	 -0.140
       4:03.484	 -0.010	 -0.140
       4:03.492	  0.000	 -0.150
       4:03.500	  0.000	 -0.160
       4:03.508	  0.040	 -0.080
       4:03.516	  0.050	 -0.070
       4:03.523	  0.060	 -0.040
       4:03.531	  0.100	 -0.010
       4:03.539	  0.130	  0.150
       4:03.547	  0.170	  0.260
       4:03.555	  0.080	  0.180
       4:03.563	  0.020	  0.240
       4:03.570	 -0.050	  0.120
       4:03.578	 -0.110	  0.070
       4:03.586	 -0.090	  0.050
       4:03.594	 -0.090	 -0.010
       4:03.602	 -0.080	 -0.140
       4:03.609	 -0.070	 -0.190
       4:03.617	 -0.090	 -0.160
       4:03.625	 -0.070	 -0.140
       4:03.633	 -0.080	 -0.160
       4:03.641	 -0.030	 -0.360
       4:03.648	  0.360	  0.570
       4:03.656	  0.620	  3.050
       4:03.664	 -0.480	  5.110
       4:03.672	 -1.980	  5.110
       4:03.680	 -1.970	  2.850
       4:03.688	 -1.220	 -0.600
       4:03.695	 -0.620	 -0.390
       4:03.703	 -0.230	 -0.190
       4:03.711	  0.000	 -0.230
       4:03.719	  0.000	 -0.310
       4:03.727	  0.030	 -0.310
       4:03.734	  0.050	 -0.280
       4:03.742	  0.080	 -0.300
       4:03.750	  0.090	 -0.310
       4:03.758	  0.090	 -0.280
       4:03.766	  0.100	 -0.270
       4:03.773	  0.120	 -0.260
       4:03.781	  0.110	 -0.280
       4:03.789	  0.130	 -0.230
       4:03.797	  0.150	 -0.240
       4:03.805	  0.160	 -0.240
       4:03.813	  0.180	 -0.240
       4:03.820	  0.200	 -0.220
       4:03.828	  0.220	 -0.230
       4:03.836	  0.220	 -0.240
       4:03.844	  0.250	 -0.210
       4:03.852	  0.260	 -0.210
       4:03.859	  0.280	 -0.250
       4:03.867	  0.270	 -0.270
       4:03.875	  0.270	 -0.260
       4:03.883	  0.250	 -0.290
       4:03.891	  0.230	 -0.330
       4:03.898	  0.210	 -0.330
       4:03.906	  0.190	 -0.360
       4:03.914	  0.160	 -0.380
       4:03.922	  0.120	 -0.370
       4:03.930	  0.070	 -0.300
       4:03.938	  0.050	 -0.240
       4:03.945	  0.020	 -0.170
       4:03.953	  0.010	 -0.100
       4:03.961	  0.030	 -0.020
       4:03.969	  0.020	 -0.020
       4:03.977	  0.040	 -0.020
       4:03.984	  0.030	  0.030
       4:03.992	  0.040	  0.020
       4:04.000	  0.040	 -0.010
       4:04.008	  0.040	 -0.010
       4:04.016	  0.040	  0.000
       4:04.023	  0.030	 -0.030
       4:04.031	  0.040	 -0.040
       4:04.039	  0.040	 -0.030
       4:04.047	  0.040	 -0.010
       4:04.055	  0.050	 -0.040
       4:04.063	  0.050	 -0.040
       4:04.070	  0.050	 -0.040
       4:04.078	  0.060	 -0.050
       4:04.086	  0.060	 -0.070
       4:04.094	  0.060	 -0.060
       4:04.102	  0.070	 -0.060
       4:04.109	  0.070	 -0.090
       4:04.117	  0.070	 -0.110
       4:04.125	  0.070	 -0.080
       4:04.133	  0.080	 -0.090
       4:04.141	  0.060	 -0.110
       4:04.148	  0.070	 -0.110
       4:04.156	  0.050	 -0.110
       4:04.164	  0.050	 -0.110
       4:04.172	  0.040	 -0.140
       4:04.180	  0.040	 -0.120
       4:04.188	  0.030	 -0.120
       4:04.195	  0.030	 -0.130
       4:04.203	  0.020	 -0.150
       4:04.211	  0.020	 -0.120
       4:04.219	  0.020	 -0.130
       4:04.227	  0.030	 -0.150
       4:04.234	  0.010	 -0.130
       4:04.242	  0.020	 -0.110
       4:04.250	  0.010	 -0.130
       4:04.258	  0.000	 -0.130
       4:04.266	  0.000	 -0.090
       4:04.273	  0.000	 -0.100
       4:04.281	  0.000	 -0.110
       4:04.289	  0.000	 -0.120
       4:04.297	  0.000	 -0.090
       4:04.305	  0.000	 -0.110
       4:04.313	  0.020	 -0.110
       4:04.320	  0.030	 -0.040
       4:04.328	  0.100	 -0.020
       4:04.336	  0.050	 -0.010
       4:04.344	  0.110	  0.010
       4:04.352	  0.140	  0.160
       4:04.359	  0.160	  0.290
       4:04.367	  0.100	  0.220
       4:04.375	  0.030	  0.250
       4:04.383	 -0.030	  0.130
       4:04.391	 -0.090	  0.100
       4:04.398	 -0.090	  0.060
       4:04.406	 -0.080	  0.020
       4:04.414	 -0.060	 -0.120
       4:04.422	 -0.070	 -0.150
       4:04.430	 -0.080	 -0.160
       4:04.438	 -0.070	 -0.130
       4:04.445	 -0.090	 -0.140
       4:04.453	 -0.050	 -0.340
       4:04.461	  0.330	  0.450
       4:04.469	  0.490	  2.550
       4:04.477	  0.090	  5.110
       4:04.484	 -1.880	  5.110
       4:04.492	 -1.980	  3.500
       4:04.500	 -1.160	 -0.420
       4:04.508	 -0.780	 -0.350
       4:04.516	 -0.330	 -0.220
       4:04.523	 -0.040	 -0.210
       4:04.531	 -0.050	 -0.290
       4:04.539	 -0.030	 -0.310
       4:04.547	  0.010	 -0.290
       4:04.555	  0.020	 -0.290
       4:04.563	  0.040	 -0.300
       4:04.570	  0.040	 -0.280
       4:04.578	  0.060	 -0.270
       4:04.586	  0.050	 -0.270
       4:04.594	  0.080	 -0.290
       4:04.602	  0.080	 -0.230
       4:04.609	  0.080	 -0.240
       4:04.617	  0.110	 -0.250
       4:04.625	  0.140	 -0.270
       4:04.633	  0.130	 -0.230
       4:04.641	  0.150	 -0.260
       4:04.648	  0.150	 -0.280
       4:04.656	  0.150	 -0.250
       4:04.664	  0.180	 -0.260
       4:04.672	  0.180	 -0.270
       4:04.680	  0.180	 -0.290
       4:04.688	  0.160	 -0.300
       4:04.695	  0.170	 -0.320
       4:04.703	  0.160	 -0.370
       4:04.711	  0.120	 -0.410
       4:04.719	  0.120	 -0.420
       4:04.727	  0.110	 -0.440
       4:04.734	  0.060	 -0.460
       4:04.742	  0.040	 -0.390
       4:04.750	  0.020	 -0.320
       4:04.758	  0.010	 -0.280
       4:04.766	 -0.020	 -0.160
       4:04.773	 -0.010	 -0.090
       4:04.781	  0.000	 -0.070
       4:04.789	 -0.020	 -0.060
       4:04.797	 -0.010	 -0.020
       4:04.805	  0.020	 -0.030
       4:04.813	  0.010	 -0.040
       4:04.820	  0.000	 -0.050
       4:04.828	  0.000	 -0.050
       4:04.836	  0.000	 -0.060
       4:04.844	  0.020	 -0.070
       4:04.852	  0.000	 -0.040
       4:04.859	  0.010	 -0.050
       4:04.867	  0.020	 -0.080
       4:04.875	  0.020	 -0.110
       4:04.883	  0.030	 -0.060
       4:04.891	  0.040	 -0.110
       4:04.898	  0.040	 -0.120
       4:04.906	  0.040	 -0.130
       4:04.914	  0.050	 -0.120
       4:04.922	  0.040	 -0.160
       4:04.930	  0.030	 -0.170
       4:04.938	  0.040	 -0.150
       4:04.945	  0.040	 -0.170
       4:04.953	  0.040	 -0.180
       4:04.961	  0.020	 -0.170
       4:04.969	  0.020	 -0.180
       4:04.977	 -0.010	 -0.190
       4:04.984	 -0.010	 -0.200
       4:04.992	 -0.020	 -0.180
       4:05.000	 -0.020	 -0.160
       4:05.008	 -0.030	 -0.220
       4:05.016	 -0.030	 -0.200
       4:05.023	 -0.040	 -0.180
       4:05.031	 -0.030	 -0.180
       4:05.039	 -0.030	 -0.230
       4:05.047	 -0.040	 -0.190
       4:05.055	 -0.040	 -0.190
       4:05.063	 -0.040	 -0.210
       4:05.070	 -0.040	 -0.210
       4:05.078	 -0.050	 -0.170
       4:05.086	 -0.050	 -0.190
       4:05.094	 -0.040	 -0.200
       4:05.102	  0.000	 -0.140
       4:05.109	  0.030	 -0.110
       4:05.117	  0.000	 -0.100
       4:05.125	  0.060	 -0.080
       4:05.133	  0.080	  0.050
       4:05.141	  0.140	  0.200
       4:05.148	  0.080	  0.120
       4:05.156	  0.010	  0.150
       4:05.164	 -0.040	  0.070
       4:05.172	 -0.130	  0.020
       4:05.180	 -0.110	 -0.050
       4:05.188	 -0.120	 -0.060
       4:05.195	 -0.110	 -0.190
       4:05.203	 -0.100	 -0.250
       4:05.211	 -0.110	 -0.240
       4:05.219	 -0.110	 -0.220
       4:05.227	 -0.110	 -0.210
       4:05.234	 -0.100	 -0.380
       4:05.242	  0.240	  0.380
       4:05.250	  0.550	  2.220
       4:05.258	  0.500	  5.110
       4:05.266	 -1.500	  5.110
       4:05.273	 -1.650	  4.030
       4:05.281	 -1.140	 -0.270
       4:05.289	 -0.810	 -0.470
       4:05.297	 -0.480	 -0.410
       4:05.305	 -0.060	 -0.270
       4:05.313	 -0.070	 -0.370
       4:05.320	 -0.050	 -0.400
       4:05.328	 -0.020	 -0.380
       4:05.336	  0.010	 -0.370
       4:05.344	  0.010	 -0.400
       4:05.352	  0.020	 -0.380
       4:05.359	  0.040	 -0.370
       4:05.367	  0.050	 -0.350
       4:05.375	  0.050	 -0.370
       4:05.383	  0.070	 -0.310
       4:05.391	  0.090	 -0.320
       4:05.398	  0.080	 -0.350
       4:05.406	  0.090	 -0.310
       4:05.414	  0.090	 -0.310
       4:05.422	  0.120	 -0.300
       4:05.430	  0.120	 -0.310
       4:05.438	  0.120	 -0.260
       4:05.445	  0.130	 -0.230
       4:05.453	  0.140	 -0.270
       4:05.461	  0.140	 -0.270
       4:05.469	  0.120	 -0.230
       4:05.477	  0.110	 -0.270
       4:05.484	  0.140	 -0.270
       4:05.492	  0.120	 -0.320
       4:05.500	  0.100	 -0.320
       4:05.508	  0.080	 -0.310
       4:05.516	  0.080	 -0.360
       4:05.523	  0.030	 -0.290
       4:05.531	  0.020	 -0.260
       4:05.539	  0.000	 -0.230
       4:05.547	 -0.010	 -0.190
       4:05.555	 -0.010	 -0.140
       4:05.563	 -0.020	 -0.150
       4:05.570	 -0.010	 -0.170
       4:05.578	 -0.020	 -0.170
       4:05.586	  0.000	 -0.170
       4:05.594	 -0.010	 -0.220
       4:05.602	 -0.010	 -0.230
       4:05.609	  0.000	 -0.210
       4:05.617	  0.010	 -0.230
       4:05.625	  0.010	 -0.250
       4:05.633	  0.010	 -0.270
       4:05.641	  0.010	 -0.250
       4:05.648	  0.020	 -0.270
       4:05.656	  0.020	 -0.280
       4:05.664	  0.020	 -0.280
       4:05.672	  0.030	 -0.270
       4:05.680	  0.030	 -0.310
       4:05.688	  0.020	 -0.290
       4:05.695	  0.010	 -0.270
       4:05.703	  0.010	 -0.270
       4:05.711	 -0.010	 -0.280
       4:05.719	 -0.010	 -0.280
       4:05.727	 -0.010	 -0.260
       4:05.734	 -0.010	 -0.270
       4:05.742	 -0.020	 -0.290
       4:05.750	 -0.020	 -0.260
       4:05.758	 -0.020	 -0.280
       4:05.766	 -0.030	 -0.300
       4:05.773	 -0.030	 -0.290
       4:05.781	 -0.040	 -0.280
       4:05.789	 -0.040	 -0.300
       4:05.797	 -0.040	 -0.310
       4:05.805	 -0.050	 -0.280
       4:05.813	 -0.040	 -0.280
       4:05.820	 -0.040	 -0.300
       4:05.828	 -0.050	 -0.310
       4:05.836	 -0.040	 -0.280
       4:05.844	 -0.050	 -0.300
       4:05.852	 -0.050	 -0.320
       4:05.859	 -0.060	 -0.290
       4:05.867	 -0.030	 -0.280
       4:05.875	 -0.030	 -0.290
       4:05.883	  0.020	 -0.220
       4:05.891	 -0.010	 -0.210
       4:05.898	  0.050	 -0.170
       4:05.906	  0.060	 -0.160
       4:05.914	  0.130	  0.070
       4:05.922	  0.100	  0.030
       4:05.930	  0.020	  0.040
       4:05.938	 -0.010	  0.010
       4:05.945	 -0.110	 -0.080
