   Elapsed time	   ECG1	   ECG2
       6:03.031	  0.100	 -0.180
       6:03.039	  0.090	 -0.220
       6:03.047	  0.100	 -0.210
       6:03.055	  0.100	 -0.200
       6:03.063	  0.080	 -0.180
       6:03.070	  0.080	 -0.280
       6:03.078	  0.070	 -0.210
       6:03.086	  0.070	 -0.220
       6:03.094	  0.040	 -0.230
       6:03.102	  0.040	 -0.210
       6:03.109	  0.030	 -0.200
       6:03.117	  0.040	 -0.220
       6:03.125	  0.010	 -0.230
       6:03.133	  0.000	 -0.190
       6:03.141	  0.020	 -0.230
       6:03.148	  0.010	 -0.200
       6:03.156	  0.050	 -0.150
       6:03.164	  0.080	 -0.130
       6:03.172	  0.070	 -0.090
       6:03.180	  0.120	 -0.080
       6:03.188	  0.160	  0.130
       6:03.195	  0.180	  0.270
       6:03.203	  0.100	  0.130
       6:03.211	  0.060	  0.170
       6:03.219	 -0.030	  0.060
       6:03.227	 -0.090	  0.030
       6:03.234	 -0.080	 -0.010
       6:03.242	 -0.080	 -0.100
       6:03.250	 -0.060	 -0.220
       6:03.258	 -0.060	 -0.230
       6:03.266	 -0.050	 -0.270
       6:03.273	 -0.060	 -0.210
       6:03.281	 -0.060	 -0.240
       6:03.289	 -0.010	 -0.460
       6:03.297	  0.400	  0.490
       6:03.305	  0.640	  3.090
       6:03.313	 -0.400	  5.110
       6:03.320	 -1.950	  5.110
       6:03.328	 -1.970	  2.360
       6:03.336	 -1.220	 -0.740
       6:03.344	 -0.590	 -0.490
       6:03.352	 -0.220	 -0.290
       6:03.359	  0.010	 -0.300
       6:03.367	  0.030	 -0.360
       6:03.375	  0.050	 -0.390
       6:03.383	  0.060	 -0.370
       6:03.391	  0.090	 -0.370
       6:03.398	  0.090	 -0.380
       6:03.406	  0.100	 -0.390
       6:03.414	  0.110	 -0.370
       6:03.422	  0.150	 -0.280
       6:03.430	  0.130	 -0.390
       6:03.438	  0.160	 -0.350
       6:03.445	  0.160	 -0.320
       6:03.453	  0.180	 -0.330
       6:03.461	  0.180	 -0.350
       6:03.469	  0.200	 -0.310
       6:03.477	  0.220	 -0.300
       6:03.484	  0.240	 -0.350
       6:03.492	  0.240	 -0.370
       6:03.500	  0.230	 -0.330
       6:03.508	  0.250	 -0.350
       6:03.516	  0.260	 -0.390
       6:03.523	  0.220	 -0.370
       6:03.531	  0.210	 -0.410
       6:03.539	  0.220	 -0.420
       6:03.547	  0.170	 -0.490
       6:03.555	  0.180	 -0.440
       6:03.563	  0.120	 -0.460
       6:03.570	  0.100	 -0.410
       6:03.578	  0.080	 -0.350
       6:03.586	  0.090	 -0.230
       6:03.594	  0.080	 -0.210
       6:03.602	  0.060	 -0.170
       6:03.609	  0.070	 -0.140
       6:03.617	  0.090	 -0.100
       6:03.625	  0.090	 -0.170
       6:03.633	  0.090	 -0.160
       6:03.641	  0.090	 -0.150
       6:03.648	  0.080	 -0.190
       6:03.656	  0.070	 -0.120
       6:03.664	  0.070	 -0.200
       6:03.672	  0.100	 -0.160
       6:03.680	  0.090	 -0.210
       6:03.688	  0.100	 -0.230
       6:03.695	  0.080	 -0.210
       6:03.703	  0.090	 -0.190
       6:03.711	  0.090	 -0.250
       6:03.719	  0.120	 -0.240
       6:03.727	  0.110	 -0.260
       6:03.734	  0.120	 -0.270
       6:03.742	  0.110	 -0.290
       6:03.750	  0.110	 -0.230
       6:03.758	  0.090	 -0.240
       6:03.766	  0.090	 -0.280
       6:03.773	  0.090	 -0.310
       6:03.781	  0.080	 -0.210
       6:03.789	  0.090	 -0.290
       6:03.797	  0.050	 -0.270
       6:03.805	  0.050	 -0.250
       6:03.813	  0.050	 -0.240
       6:03.820	  0.060	 -0.260
       6:03.828	  0.050	 -0.260
       6:03.836	  0.040	 -0.240
       6:03.844	  0.040	 -0.240
       6:03.852	  0.030	 -0.250
       6:03.859	  0.030	 -0.230
       6:03.867	  0.080	 -0.170
       6:03.875	  0.100	 -0.200
       6:03.883	  0.090	 -0.170
       6:03.891	  0.120	 -0.150
       6:03.898	  0.210	  0.050
       6:03.906	  0.200	  0.170
       6:03.914	  0.110	  0.030
       6:03.922	  0.090	  0.090
       6:03.930	  0.020	 -0.020
       6:03.938	 -0.050	 -0.060
       6:03.945	 -0.060	 -0.110
       6:03.953	 -0.040	 -0.160
       6:03.961	 -0.050	 -0.310
       6:03.969	 -0.060	 -0.350
       6:03.977	 -0.070	 -0.290
       6:03.984	 -0.040	 -0.280
       6:03.992	 -0.080	 -0.350
       6:04.000	 -0.010	 -0.440
       6:04.008	  0.340	  0.740
       6:04.016	  0.680	  3.390
       6:04.023	 -0.270	  5.110
       6:04.031	 -1.700	  5.110
       6:04.039	 -1.540	  1.900
       6:04.047	 -1.220	 -0.780
       6:04.055	 -0.640	 -0.620
       6:04.063	 -0.320	 -0.360
       6:04.070	 -0.050	 -0.390
       6:04.078	 -0.050	 -0.410
       6:04.086	 -0.030	 -0.460
       6:04.094	 -0.010	 -0.400
       6:04.102	  0.020	 -0.420
       6:04.109	  0.030	 -0.440
       6:04.117	  0.010	 -0.410
       6:04.125	  0.040	 -0.380
       6:04.133	  0.040	 -0.410
       6:04.141	  0.070	 -0.360
       6:04.148	  0.080	 -0.340
       6:04.156	  0.090	 -0.300
       6:04.164	  0.090	 -0.370
       6:04.172	  0.090	 -0.310
       6:04.180	  0.110	 -0.260
       6:04.188	  0.100	 -0.310
       6:04.195	  0.120	 -0.290
       6:04.203	  0.130	 -0.270
       6:04.211	  0.150	 -0.250
       6:04.219	  0.140	 -0.270
       6:04.227	  0.140	 -0.270
       6:04.234	  0.130	 -0.240
       6:04.242	  0.150	 -0.280
       6:04.250	  0.120	 -0.300
       6:04.258	  0.100	 -0.280
       6:04.266	  0.120	 -0.300
       6:04.273	  0.100	 -0.330
       6:04.281	  0.080	 -0.290
       6:04.289	  0.050	 -0.180
       6:04.297	  0.040	 -0.210
       6:04.305	  0.020	 -0.170
       6:04.313	  0.010	 -0.110
       6:04.320	  0.000	 -0.120
       6:04.328	  0.000	 -0.130
       6:04.336	  0.000	 -0.180
       6:04.344	  0.000	 -0.130
       6:04.352	  0.020	 -0.180
       6:04.359	  0.020	 -0.200
       6:04.367	  0.030	 -0.210
       6:04.375	  0.020	 -0.180
       6:04.383	  0.050	 -0.220
       6:04.391	  0.050	 -0.250
       6:04.398	  0.060	 -0.210
       6:04.406	  0.050	 -0.230
       6:04.414	  0.060	 -0.260
       6:04.422	  0.060	 -0.290
       6:04.430	  0.040	 -0.180
       6:04.438	  0.070	 -0.230
       6:04.445	  0.070	 -0.230
       6:04.453	  0.050	 -0.240
       6:04.461	  0.040	 -0.190
       6:04.469	  0.020	 -0.210
       6:04.477	  0.030	 -0.200
       6:04.484	  0.010	 -0.210
       6:04.492	  0.010	 -0.190
       6:04.500	  0.010	 -0.210
       6:04.508	  0.000	 -0.200
       6:04.516	  0.000	 -0.190
       6:04.523	 -0.010	 -0.200
       6:04.531	 -0.010	 -0.220
       6:04.539	 -0.030	 -0.200
       6:04.547	 -0.010	 -0.210
       6:04.555	 -0.020	 -0.220
       6:04.563	 -0.020	 -0.220
       6:04.570	  0.000	 -0.110
       6:04.578	  0.040	 -0.180
       6:04.586	  0.030	 -0.120
       6:04.594	  0.070	 -0.090
       6:04.602	  0.090	  0.010
       6:04.609	  0.140	  0.160
       6:04.617	  0.070	  0.090
       6:04.625	  0.030	  0.160
       6:04.633	  0.000	  0.080
       6:04.641	 -0.120	 -0.020
       6:04.648	 -0.130	 -0.020
       6:04.656	 -0.120	 -0.060
       6:04.664	 -0.100	 -0.200
       6:04.672	 -0.100	 -0.270
       6:04.680	 -0.120	 -0.250
       6:04.688	 -0.110	 -0.240
       6:04.695	 -0.100	 -0.240
       6:04.703	 -0.080	 -0.390
       6:04.711	  0.260	  0.050
       6:04.719	  0.610	  1.740
       6:04.727	  0.390	  5.070
       6:04.734	 -1.900	  5.110
       6:04.742	 -2.070	  4.080
       6:04.750	 -1.450	 -0.260
       6:04.758	 -1.060	 -0.450
       6:04.766	 -0.500	 -0.380
       6:04.773	 -0.050	 -0.280
       6:04.781	 -0.040	 -0.370
       6:04.789	 -0.010	 -0.390
       6:04.797	  0.020	 -0.370
       6:04.805	  0.050	 -0.370
       6:04.813	  0.080	 -0.380
       6:04.820	  0.070	 -0.360
       6:04.828	  0.100	 -0.350
       6:04.836	  0.120	 -0.370
       6:04.844	  0.130	 -0.300
       6:04.852	  0.130	 -0.350
       6:04.859	  0.170	 -0.330
       6:04.867	  0.180	 -0.320
       6:04.875	  0.200	 -0.340
       6:04.883	  0.210	 -0.290
       6:04.891	  0.230	 -0.300
       6:04.898	  0.270	 -0.320
       6:04.906	  0.280	 -0.280
       6:04.914	  0.310	 -0.280
       6:04.922	  0.320	 -0.310
       6:04.930	  0.340	 -0.330
       6:04.938	  0.330	 -0.310
       6:04.945	  0.330	 -0.340
       6:04.953	  0.320	 -0.390
       6:04.961	  0.290	 -0.390
       6:04.969	  0.260	 -0.420
       6:04.977	  0.200	 -0.360
       6:04.984	  0.130	 -0.450
       6:04.992	  0.090	 -0.330
       6:05.000	  0.070	 -0.260
       6:05.008	  0.040	 -0.210
       6:05.016	  0.030	 -0.150
       6:05.023	  0.020	 -0.100
       6:05.031	  0.030	 -0.100
       6:05.039	  0.010	 -0.090
       6:05.047	  0.030	 -0.100
       6:05.055	  0.020	 -0.070
       6:05.063	  0.040	 -0.100
       6:05.070	  0.040	 -0.120
       6:05.078	  0.040	 -0.100
       6:05.086	  0.040	 -0.110
       6:05.094	  0.050	 -0.130
       6:05.102	  0.050	 -0.070
       6:05.109	  0.060	 -0.160
       6:05.117	  0.060	 -0.140
       6:05.125	  0.070	 -0.180
       6:05.133	  0.060	 -0.150
       6:05.141	  0.080	 -0.170
       6:05.148	  0.090	 -0.190
       6:05.156	  0.080	 -0.190
       6:05.164	  0.080	 -0.170
       6:05.172	  0.090	 -0.200
       6:05.180	  0.060	 -0.220
       6:05.188	  0.060	 -0.190
       6:05.195	  0.050	 -0.200
       6:05.203	  0.050	 -0.200
       6:05.211	  0.050	 -0.220
       6:05.219	  0.040	 -0.170
       6:05.227	  0.040	 -0.200
       6:05.234	  0.020	 -0.200
       6:05.242	  0.030	 -0.200
       6:05.250	  0.010	 -0.140
       6:05.258	  0.020	 -0.200
       6:05.266	  0.010	 -0.200
       6:05.273	  0.030	 -0.120
       6:05.281	  0.080	 -0.100
       6:05.289	  0.050	 -0.120
       6:05.297	  0.110	 -0.080
       6:05.305	  0.120	  0.030
       6:05.313	  0.230	  0.220
       6:05.320	  0.160	  0.180
       6:05.328	  0.100	  0.240
       6:05.336	  0.030	  0.120
       6:05.344	 -0.090	  0.030
       6:05.352	 -0.090	  0.020
       6:05.359	 -0.100	 -0.020
       6:05.367	 -0.060	 -0.180
       6:05.375	 -0.070	 -0.200
       6:05.383	 -0.090	 -0.250
       6:05.391	 -0.080	 -0.230
       6:05.398	 -0.070	 -0.220
       6:05.406	 -0.060	 -0.320
       6:05.414	  0.120	 -0.240
       6:05.422	  0.500	  1.210
       6:05.430	  0.820	  4.420
       6:05.438	 -1.550	  5.110
       6:05.445	 -2.180	  4.710
       6:05.453	 -1.750	  0.600
       6:05.461	 -1.380	 -0.640
       6:05.469	 -0.430	 -0.440
       6:05.477	 -0.090	 -0.300
       6:05.484	  0.000	 -0.370
       6:05.492	 -0.010	 -0.420
       6:05.500	  0.030	 -0.350
       6:05.508	  0.050	 -0.420
       6:05.516	  0.080	 -0.410
       6:05.523	  0.080	 -0.380
       6:05.531	  0.090	 -0.380
       6:05.539	  0.120	 -0.400
       6:05.547	  0.110	 -0.400
       6:05.555	  0.120	 -0.350
       6:05.563	  0.130	 -0.350
       6:05.570	  0.150	 -0.360
       6:05.578	  0.150	 -0.350
       6:05.586	  0.180	 -0.330
       6:05.594	  0.220	 -0.340
       6:05.602	  0.220	 -0.340
       6:05.609	  0.240	 -0.300
       6:05.617	  0.270	 -0.270
       6:05.625	  0.280	 -0.350
       6:05.633	  0.310	 -0.330
       6:05.641	  0.290	 -0.310
       6:05.648	  0.290	 -0.360
       6:05.656	  0.280	 -0.380
       6:05.664	  0.240	 -0.390
       6:05.672	  0.230	 -0.410
       6:05.680	  0.190	 -0.410
       6:05.688	  0.150	 -0.410
       6:05.695	  0.080	 -0.330
       6:05.703	  0.060	 -0.280
       6:05.711	  0.050	 -0.230
       6:05.719	  0.030	 -0.170
       6:05.727	  0.030	 -0.120
       6:05.734	  0.040	 -0.130
       6:05.742	  0.030	 -0.090
       6:05.750	  0.040	 -0.140
       6:05.758	  0.040	 -0.120
       6:05.766	  0.050	 -0.150
       6:05.773	  0.040	 -0.150
       6:05.781	  0.050	 -0.120
       6:05.789	  0.050	 -0.140
       6:05.797	  0.050	 -0.170
       6:05.805	  0.040	 -0.150
       6:05.813	  0.040	 -0.150
       6:05.820	  0.070	 -0.170
       6:05.828	  0.060	 -0.200
       6:05.836	  0.070	 -0.170
       6:05.844	  0.090	 -0.170
       6:05.852	  0.100	 -0.200
       6:05.859	  0.100	 -0.200
       6:05.867	  0.080	 -0.200
       6:05.875	  0.100	 -0.190
       6:05.883	  0.100	 -0.240
       6:05.891	  0.080	 -0.200
       6:05.898	  0.090	 -0.210
       6:05.906	  0.070	 -0.220
       6:05.914	  0.050	 -0.230
       6:05.922	  0.050	 -0.190
       6:05.930	  0.040	 -0.200
       6:05.938	  0.030	 -0.220
       6:05.945	  0.000	 -0.210
       6:05.953	  0.010	 -0.220
       6:05.961	  0.010	 -0.230
       6:05.969	  0.000	 -0.240
       6:05.977	 -0.020	 -0.150
       6:05.984	 -0.020	 -0.230
       6:05.992	 -0.010	 -0.260
       6:06.000	 -0.020	 -0.230
       6:06.008	  0.020	 -0.170
